MPN,Manufacturer,Category,Description,Thermal_Conductivity,Thickness,Width,Length,Price_THB,source_file
T11-1-15.0A-01-10,AIRPAX,Circuit Breakers,Circuit Breakers Cir Brkr Hyd Mag,,,,,581.1,mouser_tim_data.csv
T21-2-3.00A-02-20BLS,AIRPAX,Circuit Breakers,Circuit Breakers Cir Brkr Hyd Mag,,,,,1378.0,mouser_tim_data.csv
GPA2000-0.040-02-93,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, High Performance, 0.040"" Thickness, TGPA2000/A2000",,,,,78.33,mouser_tim_data.csv
HS200-TP2,Ohmite,Thermal Interface Products,Thermal Interface Products HS200 RESISTOR THERMAL PAD,,,,,255.78,mouser_tim_data.csv
TGF30-07870787-059,LeaderTech,Thermal Interface Products,Thermal Interface Products Thermal Gap Filler Sky Blue 3.0W/m-K,3.0 W/m-K,,,,3344.25,mouser_tim_data.csv
TGF15-07870787-059,LeaderTech,Thermal Interface Products,Thermal Interface Products Thermal Gap Filler Pink 1.5W/m-K,1.5 W/m-K,,,,1406.28,mouser_tim_data.csv
T11-61-2.50A-27345-1,AIRPAX,Circuit Breakers,"Circuit Breakers Cir Brkr, HydMag, 1 pl, 65VDC/250VAC, 2.5A",,,,,696.48,mouser_tim_data.csv
T11-62-2.50A-27345-3,AIRPAX,Circuit Breakers,Circuit Breakers CIRCUIT BREAKER,,,,,696.48,mouser_tim_data.csv
T11-4-3.00A-26478-2,AIRPAX,Circuit Breakers,Circuit Breakers CIRCUIT BREAKER,,,,,607.75,mouser_tim_data.csv
T11-1-10.0A-01-10A-V,AIRPAX,Circuit Breakers,Circuit Breakers CIRCUIT BREAKER,,,,,600.6,mouser_tim_data.csv
T11-2-2.50A-01-20A-V,AIRPAX,Circuit Breakers,"Circuit Breakers Cir Brkr, HydMag, 2 pl, 250VAC,20A, rocker hndl",,,,,736.13,mouser_tim_data.csv
T29-7721-1,AIRPAX,Circuit Breakers,Circuit Breakers CIRCUIT BREAKER,,,,,1336.73,mouser_tim_data.csv
10020-1-5170,ebm-papst,Fan Accessories,"Fan Accessories 0.25"" Plastic Filter with Foam Pad for Fans Size 80mm, Polyurethane, 45PPI",,80 mm,,,393.9,mouser_tim_data.csv
T11-0-5.00A-01-11AL-V,AIRPAX,Circuit Breakers,Circuit Breakers Cir Brkr Hyd Mag,,,,,575.9,mouser_tim_data.csv
T26-2-7.00A-27720-1,AIRPAX,Circuit Breakers,Circuit Breakers CIRCUIT BREAKER,,,,,1929.85,mouser_tim_data.csv
A17251-01,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tputty 607 Cartridge 75cc,,,,,2460.9,mouser_tim_data.csv
T11-4-2.50A-26478-1,AIRPAX,Circuit Breakers,Circuit Breakers CIRCUIT BREAKER,,,,,767.98,mouser_tim_data.csv
PL-05-1-1016,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 0.5mm Thickness, 1 W/m-K, 101.6x101.6mm, Grey",1 W/m-K,0.5 mm,101.6 mm,101.6 mm,168.35,mouser_tim_data.csv
PL-2-5-254-H,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 2mm Thickness, 5 W/m-K, 25.4x25.4mm, Hyper Soft",5 W/m-K,2 mm,25.4 mm,25.4 mm,158.93,mouser_tim_data.csv
56-77-11G,Aavid,Thermal Interface Products,"Thermal Interface Products Mica Insulator for TO-220, Rectangle, Opaque, 18.92x13.84x 0.051mm",,0.051 mm,18.92 mm,13.84 mm,16.25,mouser_tim_data.csv
PL-05-5-1016,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 0.5mm Thickness, 5 W/m-K, 101.6x101.6mm, Gold",5 W/m-K,0.5 mm,101.6 mm,101.6 mm,318.83,mouser_tim_data.csv
PL-1-5-1016,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 1mm Thickness, 5 W/m-K, 101.6x101.6mm, Gold",5 W/m-K,1 mm,101.6 mm,101.6 mm,944.78,mouser_tim_data.csv
T21-2-5.00A-01-20AL-V,AIRPAX,Circuit Breakers,"Circuit Breakers Cir Brkr, HydMag, 1 pl, 32VDC/125VAC, 20A",,,,,1348.75,mouser_tim_data.csv
PL-1-5-254,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 1mm Thickness, 5 W/m-K, 25.4x25.4mm, Gold",5 W/m-K,1 mm,25.4 mm,25.4 mm,116.03,mouser_tim_data.csv
PL-2-1-1016,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 2mm Thickness, 1 W/m-K, 101.6x101.6mm, Grey",1 W/m-K,2 mm,101.6 mm,101.6 mm,414.7,mouser_tim_data.csv
56-77-8G,Aavid,Thermal Interface Products,"Thermal Interface Products Mica Insulator for TO-220, Rectangle, 18.92x13.84x 0.051mm",,0.051 mm,18.92 mm,13.84 mm,13.65,mouser_tim_data.csv
PL-05-5-254,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Gap Pad, Silicone, 0.5mm Thickness, 5 W/m-K, 25.4x25.4mm, Gold",5 W/m-K,0.5 mm,25.4 mm,25.4 mm,98.15,mouser_tim_data.csv
COH-1019LVC-200-20-1NT,Taica,Thermal Interface Products,"Thermal Interface Products Gap Pad, 1.9 W/mK, Square, 200x200mm, 2mm Thick, 1-Side Non-Tacky, Alpha Gel",1.9 W/m-K,200 mm,200 mm,200 mm,1128.08,mouser_tim_data.csv
CD-02-05-DO4,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change Material, DO-4 Pad, 0.625"" OD / 0.203"" ID",,,,,41.6,mouser_tim_data.csv
A18145-04,Laird Technologies,Thermal Interface Products,Thermal Interface Products TFLEX RB340 9X9IN,,,9 mm,9 mm,679.58,mouser_tim_data.csv
T21-1-2.00A-01-20AL-V,AIRPAX,Circuit Breakers,Circuit Breakers Cir Brkr Hyd Mag,,,,,1348.75,mouser_tim_data.csv
CD-02-05-LED-1,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change Thermal Material, LED 1 Inch OD Circle Pad",,,,,45.18,mouser_tim_data.csv
CD-02-05-DO4-5,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change Material, DO-4/5 Pad 0.800"" OD / 0.260"" ID",,,,,35.75,mouser_tim_data.csv
173-9-230P,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products DeltaPads Thermally Conductive Insulators for TO-220, 0.009"", Grey, No Adhesive",,,,,26.98,mouser_tim_data.csv
173-7-230P,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products DeltaPads Thermally Conductive Insulators for TO-220, 0.007"", Grey, No Adhesive",,,,,27.63,mouser_tim_data.csv
CD-02-05-C-34,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change, Chipset Pad 1.319"" x 1.319"", No Hole",,,,,78.65,mouser_tim_data.csv
CD-02-05-247-3,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change Material, Triple Mount TO-247 Pad, 3 Holes",,,,,85.8,mouser_tim_data.csv
173-7-240A,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products DeltaPads Thermally Conductive Insulators for TO220, 0.007"", Grey, Adhesive Back",,,,,29.58,mouser_tim_data.csv
CD-02-05-3-8,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change Thermal Material, TO-3 Pad, 8 Pin",,,,,73.13,mouser_tim_data.csv
CD-02-05-C-20,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change, Chipset Pad 0.768"" x 0.768"", No Hole",,,,,48.43,mouser_tim_data.csv
CD-02-05-C-46,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change, Chipset Pad 1.811"" x 1.811"", No Hole",,,,,107.58,mouser_tim_data.csv
CD-02-05-REC-112,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change, Rectifier Pad 1.12"" x 1.12"" with Hole",,,,,71.18,mouser_tim_data.csv
7717-5NG,Aavid,Heat Sinks,"Heat Sinks Semiconductor Mounting Pad for TO-5, 4 Leads, 3.18mm Thickness",,3.18 mm,,,52.98,mouser_tim_data.csv
173-7-220P,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products DeltaPads Thermally Conductive Insulators for TO-220, 0.007"", Grey, No Adhesive",,,,,15.93,mouser_tim_data.csv
173-9-210P,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products DeltaPads Thermally Conductive Insulators for TO-220, 0.009"", Grey, No Adhesive",,,,,16.9,mouser_tim_data.csv
CD-02-05-220-3,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change Material, Triple Mount TO-220 Pad, 3 Holes",,,,,65.0,mouser_tim_data.csv
D1210H,Crydom,Solid State Relays - SSRs,Solid State Relays - SSRs SS RELAY WITH THERMAL PAD,,,,,1868.43,mouser_tim_data.csv
CD-02-05-264,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change Thermal Material, TO-264 Pad, 0.003"" Thick",,,,,42.58,mouser_tim_data.csv
CD-02-05-220-N,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change Thermal Material, TO-220 Pad, No Hole",,,,,47.45,mouser_tim_data.csv
7717-15NG,Aavid,Heat Sinks,"Heat Sinks Semiconductor Mounting Pad for TO-5, 4 Leads, 0.51mm Thickness",,0.51 mm,,,44.85,mouser_tim_data.csv
A17251-09,Laird Technologies,Thermal Interface Products,Thermal Interface Products T PUTTY 607 SYRINGE 30CC,,,,,2911.68,mouser_tim_data.csv
10-6327-01G,Aavid,Heat Sinks,"Heat Sinks Push Pin Heat Sink for BGA, 28.5x28.5x10mm, IC=28x28, Plastic Pins, No Pad",,10 mm,28.5 mm,28.5 mm,68.9,mouser_tim_data.csv
7717-15DAPG,Aavid,Heat Sinks,"Heat Sinks Semiconductor Mounting Pad for TO-5, Circular, DAP, 0.51x8.89mm",,8.89 mm,0.51 mm,8.89 mm,27.3,mouser_tim_data.csv
CD-02-05-220,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change Thermal Material, TO-220 Pad, 0.003"" Thick",,,,,35.1,mouser_tim_data.csv
10-5607-04G,Aavid,Heat Sinks,"Heat Sinks Push Pin Heat Sink for BGA, 37.4x37.4x10mm, IC=37.5x37.5, Plastic Pins, Pad",,10 mm,37.4 mm,37.4 mm,124.48,mouser_tim_data.csv
CD-02-05-3-2,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change Thermal Material, TO-3 Pad, 2 Pin",,,,,51.03,mouser_tim_data.csv
173-9-330P,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products DeltaPads Thermally Conductive Insulators for TO-3, 0.009"", Grey, No Adhesive",,,,,48.1,mouser_tim_data.csv
5583S-10,3M Electronic Specialty,Thermal Interface Products,"Thermal Interface Products WX300950580  3M(TM) THERMALLY COND INTERFACE PAD 5583S, 210MM X 300MM 1.0MM",,210 mm,,,929.5,mouser_tim_data.csv
CD-02-05-BRI-225,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change, Bridge Rectifier Pad 2.25x1.75"", 2 End Slot",,,2.25 mm,1.75 mm,103.35,mouser_tim_data.csv
5519-210x155-20,3M Electronic Specialty,Thermal Interface Products,Thermal Interface Products,,,,,2470.0,mouser_tim_data.csv
5519-210x155-40,3M Electronic Specialty,Thermal Interface Products,"Thermal Interface Products Thermally Conductive Interface Pad Sheet, 210mm x 155mm x 1.0mm",,210 mm,,,1785.23,mouser_tim_data.csv
CD-02-05-127,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change Material, 5"" x 5"" Square Pad, 0.003"" Thick",,,,,400.73,mouser_tim_data.csv
A-PLI210,Aavid,Heat Sinks,"Heat Sinks Heat Sink Pad, 0.010x0.59x0.59",,,0.010 mm,0.59 mm,176.48,mouser_tim_data.csv
5589H-10 (305x240x1),3M Electronic Specialty,Thermal Interface Products,Thermal Interface Products Acrlic Interfac Pad 220mm X 220mm X 1mm,,220 mm,,,645.13,mouser_tim_data.csv
SP2000-0.015-AC-122,Bergquist Company,Thermal Interface Products,"Thermal Interface Products High Performance/Reliability Insulator, 1.14x0.81"", 0.015"" Thick, 1Side Adhesive",,,1.14 mm,0.81 mm,87.1,mouser_tim_data.csv
372924M02000G,Aavid,Heat Sinks,"Heat Sinks Push Pin Heat Sink for BGA, 37.4x37.4x6mm, 32.6 C/W, IC=37.5x37.5, No Pad",,6 mm,37.4 mm,37.4 mm,79.3,mouser_tim_data.csv
TGP12000ULM-0.060-00-0808,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, 12W/m-K, Ultra-Low Modulus, 8""x8"" Sheet, 0.060"" Thickness, TGP12000ULM",12 W/m-K,,,,7045.35,mouser_tim_data.csv
COH-1706 (1NT) t1.0,Taica,Thermal Interface Products,"Thermal Interface Products Gap Pad, 3.8 W/mK, Square, 410x410mm, 1mm Thick, 1-Side Non-Tacky, Alpha Gel",3.8 W/m-K,410 mm,410 mm,410 mm,1464.13,mouser_tim_data.csv
TGP6000ULM-0.060-12-0816,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, 6W/m-K, 8"" x 16"" Sheet, 0.060"" Thickness, TGP6000ULM, IDH 2195667",6 W/m-K,,,,6036.23,mouser_tim_data.csv
7717-247NG,Aavid,Heat Sinks,"Heat Sinks Semi Mounting Pad for TO-5/TO-18, 16.51x12.7mm, 1.78mm Thickness",,12.7 mm,16.51 mm,12.7 mm,58.83,mouser_tim_data.csv
GPHC3.0-0.060-02-0816,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, 8"" x 16"" Sheet, 0.060"" Thickness, TGPHC3000/HC 3.0, IDH 2167891",,,,,2314.33,mouser_tim_data.csv
84134750H,Crydom,Solid State Relays - SSRs,"Solid State Relays - SSRs SSR Relay, Panel Mount, IP00, 60VDC/10A, DC In, BJT Output, Thermal Pad",,,,,2136.23,mouser_tim_data.csv
7717-89DAPG,Aavid,Heat Sinks,"Heat Sinks Semiconductor Mounting Pad for TO-18, DAP, 4 Leads, 6.35mm OD, 2.03mm Thickness",,6.35 mm,,,35.1,mouser_tim_data.csv
M-B012,Cincon,Heat Sinks,"Heat Sinks Stand Alone Heat Sink, Transverse Fins, Full Brick (Includes: 1 Heatsink - no screws /no washers / no pads)",,,,,280.15,mouser_tim_data.csv
M-C091,Cincon,Heat Sinks,"Heat Sinks Stand Alone Heat Sink, Transverse Fins, Half Brick, 12.7mm (Includes: 1 Heatsink - no screws /no washers / no pads)",,12.7 mm,,,172.25,mouser_tim_data.csv
M-C448,Cincon,Heat Sinks,"Heat Sinks Stand Alone Heat Sink, Longitudinal Fins, Quarter Brick (Includes: 1 Heatsink - no screws /no washers / no pads)",,,,,140.08,mouser_tim_data.csv
M-C655 Heat Sink Kit,Cincon,Heat Sinks,"Heat Sinks Heat Sink Kit, Transverse Fins for ECLB60 Series (Includes: 1 Heatsink / 2 Screws / 2 Washers / 1 Thermal Pad)",,,,,192.73,mouser_tim_data.csv
7717-7DAPG,Aavid,Heat Sinks,"Heat Sinks Semiconductor Mounting Pad for TO-18, DAP, 4 Leads, 6.35mm OD, 3.18mm Thickness",,6.35 mm,,,46.15,mouser_tim_data.csv
5300 2.875G,Aavid,Thermal Interface Products,"Thermal Interface Products Thermalsil III Conductive Silicone Rubber Insulators, Grey-Green, 76.2mm W",,76.2 mm,,,51265.18,mouser_tim_data.csv
M-C091 Heat Sink Kit,Cincon,Heat Sinks,"Heat Sinks Heat Sink Kit, Transverse Fins, Half Brick, 12.7mm (Includes: 1 Heatsink / 4 Screws / 4 Washers / 1 Thermal Pad)",,12.7 mm,,,227.5,mouser_tim_data.csv
M-C448 Heat Sink Kit,Cincon,Heat Sinks,"Heat Sinks Heat Sink Kit, Longitudinal Fins, Quarter Brick (Includes: 1 Heatsink / 4 Screws / 4 Washers / 1 Thermal Pad)",,,,,192.73,mouser_tim_data.csv
5595S-1.0,3M Electronic Specialty,Thermal Interface Products,"Thermal Interface Products Thermally Conductive Interface Pad Sheet, 210mm X 300mm x 1.0mm, Black",,210 mm,,,1396.2,mouser_tim_data.csv
5583S-20,3M Electronic Specialty,Thermal Interface Products,"Thermal Interface Products WX300950606  3M(TM) THERMALLY COND INTERFACE PAD 5583S, 210MM X 300MM 2.0MM",,210 mm,,,1682.2,mouser_tim_data.csv
M-C421 Heat Sink Kit,Cincon,Heat Sinks,"Heat Sinks Heat Sink Kit, Transverse Fins, Quarter Brick (Includes: 1 Heatsink / 4 Screws / 4 Washers / 1 Thermal Pad)",,,,,192.73,mouser_tim_data.csv
40014040,Wurth Elektronik,Thermal Interface Products,Thermal Interface Products WE-TGF Sqare Flr Pad 100mm x 100mm x 4mm,,100 mm,,,781.3,mouser_tim_data.csv
M-C421,Cincon,Heat Sinks,"Heat Sinks Stand Alone Heat Sink, Transverse Fins, Quarter Brick (Includes: 1 Heatsink - no screws /no washers / no pads)",,,,,140.08,mouser_tim_data.csv
173-7-1212P,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products DeltaPads Thermally Conductive Insulators for SHEET, 0.007"", Grey, No Adhesive",,,,,1812.53,mouser_tim_data.csv
TGF50-07870787-020,LeaderTech,Thermal Interface Products,Thermal Interface Products 5W/m-K 200*200*0.5 TGF50 White,5 W/m-K,,200 mm,200 mm,6989.78,mouser_tim_data.csv
A15896-06,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex 760 9x9"" 5.0W/mK gap filler",5.0 W/m-K,,9 mm,9 mm,5650.13,mouser_tim_data.csv
5514-20,3M Electronic Specialty,Thermal Interface Products,Thermal Interface Products Silicone Interface 400mm x 20m,,400 mm,,,73639.48,mouser_tim_data.csv
40006005,Wurth Elektronik,Thermal Interface Products,Thermal Interface Products WE-TGF Thrml Flr Pad 200mm x 400mm x .5mm,,200 mm,,,3762.53,mouser_tim_data.csv
173-7-1212A,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products DeltaPads Thermally Conductive Insulators for SHEET, 0.007"", Grey, Adhesive Back",,,,,1730.3,mouser_tim_data.csv
SP2000-0.010-AC-1212,Bergquist Company,Thermal Interface Products,"Thermal Interface Products SIL PAD, 12""x12"" Sheet, 0.010"" Thickness, 1 Side Adhesive, IDH 2191219",,,,,7820.48,mouser_tim_data.csv
CD-02-05-LED-2,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change Thermal Material, LED 2 Inch OD Circle Pad",,,,,86.78,mouser_tim_data.csv
SP400-0.009-00-101,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Sil-Pad, 0.009"" Thickness, Sil-Pad TSP900/400, BG429439, IDH 2191890",,,,,27.95,mouser_tim_data.csv
CD-02-05-DO5,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change Material, DO-5 Pad 1.00"" OD / 0.250"" ID",,,,,44.2,mouser_tim_data.csv
SP400-0.007-00-5,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Sil-Pad, 0.007"" Thickness, 1.650x1.140"", Sil-Pad TSP900/400, IDH 2167699",,,1.650 mm,1.140 mm,41.6,mouser_tim_data.csv
SPT400-12-11-25,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Heat Sink Pads, Silicone Based, Thermally Conductive Tubes, IDH 2188863",,,,,12.35,mouser_tim_data.csv
43-02-10G,Aavid,Thermal Interface Products,"Thermal Interface Products Thermalfilm, #10 Thread, 14.27mm Outer Diameter, 5.16mm Inner Diameter",,14.27 mm,,,42.9,mouser_tim_data.csv
CD-02-05-C-49,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products ulTIMiFlux Dielectric Phase Change, Chipset Pad 1.909"" x 1.909"", No Hole",,,,,79.95,mouser_tim_data.csv
SP1200-0.016-00-1212,Bergquist Company,Thermal Interface Products,"Thermal Interface Products Elastomeric Material, 12""x12"" Sheet, 0.016"" Thickness, Sil-Pad TSP1800/1200",,,,,1544.73,mouser_tim_data.csv
5516S-1,3M Electronic Specialty,Thermal Interface Products,Thermal Interface Products THERM COND INT PAD 1MIL 230MMX320MM,,230 mm,,,2249.98,mouser_tim_data.csv
TGP6000ULM-0.080-12-0816,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, 6W/m-K, 8"" x 16"" Sheet, 0.080"" Thickness, TGP6000ULM, IDH 2195669",6 W/m-K,,,,10276.83,mouser_tim_data.csv
5583S-15,3M Electronic Specialty,Thermal Interface Products,Thermal Interface Products Thermally Conductive Silicone Interface Pad,,,,,1210.3,mouser_tim_data.csv
OTH-Q246723B-00-B5,Laird Technologies,Thermal Interface Products,Thermal Interface Products,,,,,591.83,mouser_tim_data.csv
WTC5S1A1-1.25x1.25,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Conductor Pad, 0.005"" Thickness, Square, 1 Side Adhesive",,,,,147.88,mouser_tim_data.csv
GPVOS-0.125-AC-0816,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, 8""x16"" Sheet, 0.125"" Thickness, 1 Side Adhesive, TGP800VOS/VO Soft",,,,,2816.45,mouser_tim_data.csv
GPVOUS-0.020-AC-0816,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, 8""x16"" Sheet, 0.020"" Thickness, 1 Side Adhesive",,,,,1033.5,mouser_tim_data.csv
GPVOS-0.040-01-0816,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, 8""x16"" Sheet, 0.040"" Thickness, GAP PAD TGP 800VOS/VO Soft, IDH 2165895",,,,,1186.9,mouser_tim_data.csv
GPVOUS-0.200-AC-0816,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, 8""x16"" Sheet, 0.200"" Thickness, 1 Side Adhesive",,,,,3595.15,mouser_tim_data.csv
407160016150,Wurth Elektronik,Thermal Interface Products,Thermal Interface Products WE-TGFG Thml Flr Pad 16mm x 16mm x 15mm,,16 mm,,,89.05,mouser_tim_data.csv
40111010,Wurth Elektronik,Thermal Interface Products,Thermal Interface Products WE-TGF 1W Square 100x100x1mm,,1 mm,100 mm,100 mm,246.03,mouser_tim_data.csv
GPVOUS-0.040-AC-0816,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, 8""x16"" Sheet, 0.040"" Thickness, 1 Side Adhesive",,,,,1303.58,mouser_tim_data.csv
5591-10,3M Electronic Specialty,Thermal Interface Products,Thermal Interface Products Interfac Pad Sheet 210mm x 300mm x1.0mm,,210 mm,,,681.2,mouser_tim_data.csv
5586-20,3M Electronic Specialty,Thermal Interface Products,"Thermal Interface Products WX300950713  3M(TM) THERMALLY COND INTERFACE PAD 5586, 210MM X 300MM 2.0MM",,210 mm,,,1445.28,mouser_tim_data.csv
A18330-16,Laird Technologies,Thermal Interface Products,Thermal Interface Products 4.00 127x76mm,,76 mm,127 mm,76 mm,6214.65,mouser_tim_data.csv
5591-15,3M Electronic Specialty,Thermal Interface Products,Thermal Interface Products Silicon Intrfac Pad 210mm x 300mm x1.5mm,,210 mm,,,877.83,mouser_tim_data.csv
40113010,Wurth Elektronik,Thermal Interface Products,Thermal Interface Products WE-TGF Sqare Rei Pad 100mm x 100mm x 1mm,,100 mm,,,497.58,mouser_tim_data.csv
40114010,Wurth Elektronik,Thermal Interface Products,Thermal Interface Products WE-TGF Sqare Rei Pad 100mm x 100mm x 1mm,,100 mm,,,569.73,mouser_tim_data.csv
A17251-02,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tputty 607 Cartridge 180cc,,,,,4303.0,mouser_tim_data.csv
40101010,Wurth Elektronik,Thermal Interface Products,Thermal Interface Products WE-TGF 1W Rectangle 400x200x1mm,,1 mm,400 mm,200 mm,979.55,mouser_tim_data.csv
5583S-05,3M Electronic Specialty,Thermal Interface Products,Thermal Interface Products Thermally Conductive Interface Pad 210mm x 300mm X .5mm Silicone Polymer,,210 mm,,,750.75,mouser_tim_data.csv
A17262-02,Laird Technologies,Thermal Interface Products,"Thermal Interface Products TFLEX CR607,CARTDUAL 2X100CC",,,2 mm,100 mm,8916.7,mouser_tim_data.csv
TGP 40000SF-0.040-00-0606,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, Sil-Free, 40W/m-K, 6x6"" Sheet, 0.040"" Thickness, Thermexit, IDH 2972782",40 W/m-K,,6 mm,6 mm,5560.75,mouser_tim_data.csv
A16367-04,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tflex SF640 DF 8.5"" x 9.0""",,,,,2546.7,mouser_tim_data.csv
GP2200SF-0.020-02-0816,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, S-Class, 8""x16"" Sheet, 0.020"" Thickness, GAP PAD TGP2200SF/2200SF",,,,,2685.48,mouser_tim_data.csv
GP2500S20-0.010-02-0816,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, S-Class, 8""x16"" Sheet, 0.010"" Thickness, GAP PAD TGP2400/2500S20",,,,,1685.13,mouser_tim_data.csv
A17915-20,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tflex B2200 18x18IN,,,18 mm,18 mm,4225.65,mouser_tim_data.csv
402030403020,Wurth Elektronik,Thermal Interface Products,Thermal Interface Products WE-PCM Phs Chge Mtrl 400mm x 300mm x .2mm,,400 mm,,,741.98,mouser_tim_data.csv
GP2500S20-0.020-02-0816,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, S-Class, 8""x16"" Sheet, 0.020"" Thickness, GAP PAD TGP2400/2500S20",,,,,1423.18,mouser_tim_data.csv
GP2000S40-0.040-02-0816,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, S-Class, 8""x16"" Sheet, 0.040"" Thickness, 2 Side Tack, TGP2000/2000S40",,,,,1494.68,mouser_tim_data.csv
A10463-12,Laird Technologies,Thermal Interface Products,"Thermal Interface Products Tgon 810,A1 18"" x 24""",,,,,1384.18,mouser_tim_data.csv
40103010,Wurth Elektronik,Thermal Interface Products,Thermal Interface Products WE-TGF Thml Rein Pad 200mm x 400mm x 1mm,,200 mm,,,2883.73,mouser_tim_data.csv
TGP 40000SF-0.020-00-0406,Bergquist Company,Thermal Interface Products,"Thermal Interface Products GAP PAD, Sil-Free, 40W/m-K, 4x6"" Sheet, 0.020"" Thickness, Thermexit, IDH 2972783",40 W/m-K,,4 mm,6 mm,1730.3,mouser_tim_data.csv
A18196-10,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tpcm 5250 18x18in,,,18 mm,18 mm,1732.25,mouser_tim_data.csv
WTI7R5F1-2.50x0.75,Wakefield Thermal,Thermal Interface Products,"Thermal Interface Products Thermal Insulator Pad, 0.007"" Thickness, Rectangle, 5 Holes",,,,,60.78,mouser_tim_data.csv
A18052-15,Laird Technologies,Thermal Interface Products,Thermal Interface Products Tflex 3150TG 18x18in,,,18 mm,18 mm,4236.38,mouser_tim_data.csv
